user,a6d9bDERMgJ8CgOHwquoG,LZK4RILvq6lNKfIBDtpPT,uEFvWyp7i_JTr61rMgvpc,pyNjv9i4A3WcRNK_mfmmq,wRKLb6zxuAPIsTWicXEb2,I-XBG_1NlWo0pc1YUVTsq,haeNlgCfyaVev3_bqw4HP,WP_erMqa4hMgzo4YZPl-9,CShKY0dgwWXKFG6XeV8w3,eaxrkYopmtY9uMfdftOeD,_0-Dtu4abTAclzMPpk2op,8B1cT3-y-kQ8mgVgYywEv,xvKGJTxwjwJCiGyEeGjLn,gFwoTXkAcAckZCCs9-hbJ,M05QqnDZEu0Fj6qrTtdSG,f46DJlKR6QY5XAVvrTq0X,I5mbktxDVDrpS56_2ZzlF,az0rNSr8I83DWRGHt1RpJ,feohhCkiAl599S9HGKkpe,PBOTslQiQDWkz7n6gtRRy,9c-zdRbtNg4rWX0JrWRsv,cDi1Vfe9LPRtbZfMieOXg,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,rULbr8lif98CPD6bBowhQ,9BZANXTjpc2b8C8In5cY4,YCqKzGcQqZykIIWJe40QE,aifYnRrToVksZwh5Ka_rS,NQe3sR8pKUyqvQfmCSsPc,k0wpzFVmnn3NZgTqck0W_,hQZvZIseJXyUFJEZ78-fz,DZObnpKPO3cobSJWA6zaK,Rl4CQwZ4w4Y6sClp5VCS0,tLvSFKbPT-mpYhiAIxGEe,AzsGJVwqQOEKbtdYSngED
f46DJlKR6QY5XAVvrTq0X,0,21,19,11,11,27,7,26,25,3,30,4,4,29,25,,25,11,6,21,2,11,33,27,24,12,31,25,15,25,28,21,12,19,12
I5mbktxDVDrpS56_2ZzlF,2,12,26,11,8,30,5,17,29,7,22,3,3,24,14,25,,25,1,17,1,16,24,26,27,22,29,18,13,29,18,14,11,22,19
az0rNSr8I83DWRGHt1RpJ,2,14,18,7,3,12,1,15,23,6,13,1,3,27,21,11,25,,3,13,1,14,20,15,22,9,18,10,7,17,12,12,14,19,7
feohhCkiAl599S9HGKkpe,1,3,6,1,5,1,2,6,0,7,2,1,1,4,3,6,1,3,,3,3,5,2,3,1,2,3,5,1,6,5,1,6,3,5
PBOTslQiQDWkz7n6gtRRy,1,21,32,8,5,22,3,25,25,1,27,3,1,25,21,21,17,13,3,,1,16,18,24,28,23,24,18,7,21,20,20,11,21,16
9c-zdRbtNg4rWX0JrWRsv,13,15,1,1,6,,10,3,3,40,0,1,1,1,3,2,1,1,3,1,,5,2,1,1,3,0,6,9,4,8,2,27,6,13
cDi1Vfe9LPRtbZfMieOXg,2,10,25,1,9,20,3,21,19,15,20,4,5,18,17,11,16,14,5,16,5,,26,21,18,12,17,14,24,19,19,8,11,17,15
yc5gVRH266TWsfvrLGiI6,2,21,25,4,6,21,9,27,33,3,23,10,3,35,16,33,24,20,2,18,2,26,,36,28,24,41,24,18,24,24,25,18,24,20
pUV9RWUsVI-S3UReLVeLY,1,21,21,5,5,23,3,14,28,5,25,6,5,40,26,27,26,15,3,24,1,21,36,,21,12,31,23,16,32,20,19,12,23,14
rULbr8lif98CPD6bBowhQ,1,21,33,7,4,31,7,30,21,7,16,5,1,35,20,24,27,22,1,28,1,18,28,21,,26,24,25,21,30,22,17,9,33,18
9BZANXTjpc2b8C8In5cY4,6,13,24,5,9,23,4,21,22,11,20,2,5,18,18,12,22,9,2,23,3,12,24,12,26,,16,16,19,14,14,13,18,21,15
YCqKzGcQqZykIIWJe40QE,,16,33,11,5,25,6,19,19,8,30,6,7,27,22,31,29,18,3,24,0,17,41,31,24,16,,15,12,35,16,27,19,23,9
aifYnRrToVksZwh5Ka_rS,5,34,23,8,12,21,3,20,26,15,14,3,6,25,20,25,18,10,5,18,6,14,24,23,25,16,15,,25,26,27,25,27,26,32
NQe3sR8pKUyqvQfmCSsPc,0,28,18,2,10,14,5,34,13,23,15,0,9,14,13,15,13,7,1,7,9,24,18,16,21,19,12,25,,21,23,24,29,8,67
k0wpzFVmnn3NZgTqck0W_,2,33,27,6,12,22,7,28,35,7,26,3,6,31,26,25,29,17,6,21,4,19,24,32,30,14,35,26,21,,28,21,13,20,21
hQZvZIseJXyUFJEZ78-fz,8,33,23,9,11,19,11,21,16,20,22,2,8,17,24,28,18,12,5,20,8,19,24,20,22,14,16,27,23,28,,20,27,15,23
DZObnpKPO3cobSJWA6zaK,0,16,20,11,8,17,1,20,28,4,35,5,6,36,25,21,14,12,1,20,2,8,25,19,17,13,27,25,24,21,20,,14,23,16
Rl4CQwZ4w4Y6sClp5VCS0,12,34,6,3,16,12,11,14,14,52,13,0,9,9,16,12,11,14,6,11,27,11,18,12,9,18,19,27,29,13,27,14,,15,65
tLvSFKbPT-mpYhiAIxGEe,1,18,41,4,4,31,6,17,27,11,23,1,5,29,25,19,22,19,3,21,6,17,24,23,33,21,23,26,8,20,15,23,15,,11
AzsGJVwqQOEKbtdYSngED,14,35,11,2,23,8,8,24,14,43,13,1,11,12,23,12,19,7,5,16,13,15,20,14,18,15,9,32,67,21,23,16,65,11,
