user,DZObnpKPO3cobSJWA6zaK,EmEe2TEYxAFbNqbon8csP,8B1cT3-y-kQ8mgVgYywEv,M05QqnDZEu0Fj6qrTtdSG,hQZvZIseJXyUFJEZ78-fz,NQe3sR8pKUyqvQfmCSsPc,xvKGJTxwjwJCiGyEeGjLn,tLvSFKbPT-mpYhiAIxGEe,PBOTslQiQDWkz7n6gtRRy,CShKY0dgwWXKFG6XeV8w3,I-XBG_1NlWo0pc1YUVTsq,I5mbktxDVDrpS56_2ZzlF,yc5gVRH266TWsfvrLGiI6,pUV9RWUsVI-S3UReLVeLY,cDi1Vfe9LPRtbZfMieOXg,eaxrkYopmtY9uMfdftOeD,rULbr8lif98CPD6bBowhQ,Rl4CQwZ4w4Y6sClp5VCS0,9BZANXTjpc2b8C8In5cY4,f46DJlKR6QY5XAVvrTq0X,YCqKzGcQqZykIIWJe40QE,haeNlgCfyaVev3_bqw4HP,uEFvWyp7i_JTr61rMgvpc,2zELMic0CCV-geiWqnXLZ,gFwoTXkAcAckZCCs9-hbJ,pyNjv9i4A3WcRNK_mfmmq,az0rNSr8I83DWRGHt1RpJ,a6d9bDERMgJ8CgOHwquoG,aifYnRrToVksZwh5Ka_rS,9c-zdRbtNg4rWX0JrWRsv,AzsGJVwqQOEKbtdYSngED,lxDqrTwuZCV04obOBeyfw,LZK4RILvq6lNKfIBDtpPT,feohhCkiAl599S9HGKkpe,_8OdW_ggLBKpTRnlypeUV,_0-Dtu4abTAclzMPpk2op,k0wpzFVmnn3NZgTqck0W_,wRKLb6zxuAPIsTWicXEb2,WP_erMqa4hMgzo4YZPl-9
I-XBG_1NlWo0pc1YUVTsq,0.4722222222222222,0.2,0.4666666666666667,0.575,0.6551724137931034,0.5,0.5,0.6078431372549019,0.4888888888888889,0.723404255319149,1.0,0.6666666666666666,0.5526315789473685,0.6216216216216216,0.5526315789473685,0.1111111111111111,0.6078431372549019,0.5454545454545454,0.5581395348837209,0.717948717948718,0.6944444444444444,0.75,0.6229508196721312,,0.6829268292682927,0.6666666666666666,0.48,0.6666666666666666,0.6363636363636364,0.0,0.6153846153846154,,0.6774193548387096,1.0,0.0,0.6470588235294118,0.6285714285714286,0.2,0.5675675675675675
I5mbktxDVDrpS56_2ZzlF,0.4117647058823529,0.0,0.2727272727272727,0.4411764705882353,0.5806451612903226,0.4642857142857143,0.3333333333333333,0.6666666666666666,0.4857142857142857,0.7317073170731707,0.6666666666666666,1.0,0.5581395348837209,0.5909090909090909,0.6153846153846154,0.6666666666666666,0.6428571428571429,0.7058823529411765,0.5789473684210527,0.5434782608695652,0.5471698113207547,0.8571428571428571,0.6190476190476191,,0.5454545454545454,0.6875,0.7352941176470589,0.2857142857142857,0.5625,0.2,0.6896551724137931,,0.5217391304347826,0.5,1.0,0.55,0.6744186046511628,0.5,0.5862068965517241
yc5gVRH266TWsfvrLGiI6,0.5434782608695652,0.0,0.8333333333333334,0.7272727272727273,0.6857142857142857,0.76,0.6666666666666666,0.6153846153846154,0.5142857142857142,0.825,0.5526315789473685,0.5581395348837209,1.0,0.782608695652174,0.6923076923076923,0.5,0.7631578947368421,0.76,0.6666666666666666,0.7391304347826086,0.6612903225806451,0.7692307692307693,0.625,,0.7346938775510204,0.4,0.6176470588235294,0.4,0.6756756756756757,1.0,0.7777777777777778,,0.7,0.4,0.0,0.6,0.7058823529411765,0.6666666666666666,0.675
pUV9RWUsVI-S3UReLVeLY,0.4634146341463415,0.5,0.46153846153846156,0.5909090909090909,0.5263157894736842,0.48484848484848486,0.7142857142857143,0.5348837209302325,0.5454545454545454,0.7368421052631579,0.6216216216216216,0.5909090909090909,0.782608695652174,1.0,0.7,0.8571428571428571,0.5121951219512195,0.7058823529411765,0.48,0.7941176470588235,0.6595744680851063,0.5,0.65625,,0.7692307692307693,0.4166666666666667,0.6,0.5,0.6571428571428571,0.3333333333333333,0.6086956521739131,,0.5675675675675675,0.6,0.0,0.5813953488372093,0.6666666666666666,0.3333333333333333,0.5
cDi1Vfe9LPRtbZfMieOXg,0.6428571428571429,0.0,0.5714285714285714,0.68,0.7307692307692307,0.6097560975609756,0.6,0.6071428571428571,0.5925925925925926,0.6666666666666666,0.5526315789473685,0.6153846153846154,0.6923076923076923,0.7,1.0,0.6956521739130435,0.7037037037037037,0.6363636363636364,0.5652173913043478,0.5833333333333334,0.72,0.7142857142857143,0.6944444444444444,,0.7692307692307693,0.3333333333333333,0.75,0.6666666666666666,0.5833333333333334,0.5714285714285714,0.5,,0.5238095238095238,0.8333333333333334,0.3333333333333333,0.5882352941176471,0.6896551724137931,0.5909090909090909,0.6875
eaxrkYopmtY9uMfdftOeD,0.36363636363636365,0.0,0.5,0.5789473684210527,0.7352941176470589,0.7741935483870968,0.7142857142857143,0.7,0.18181818181818182,0.8181818181818182,0.1111111111111111,0.6666666666666666,0.5,0.8571428571428571,0.6956521739130435,1.0,0.8888888888888888,0.6804123711340206,0.782608695652174,0.5,0.8,0.6222222222222222,0.5,0.2,0.8,0.5,0.8571428571428571,0.5,0.6666666666666666,0.7066666666666667,0.746031746031746,,0.6538461538461539,0.5,0.0,0.42857142857142855,0.6666666666666666,0.5714285714285714,0.7272727272727273
rULbr8lif98CPD6bBowhQ,0.47368421052631576,1.0,0.5,0.625,0.696969696969697,0.6285714285714286,0.4,0.5892857142857143,0.5714285714285714,0.8148148148148148,0.6078431372549019,0.6428571428571429,0.7631578947368421,0.5121951219512195,0.7037037037037037,0.8888888888888888,1.0,0.625,0.6666666666666666,0.6097560975609756,0.5106382978723404,0.7272727272727273,0.7021276595744681,,0.7659574468085106,0.5833333333333334,0.6571428571428571,1.0,0.7222222222222222,0.5,0.7307692307692307,,0.6774193548387096,0.5,,0.47058823529411764,0.7380952380952381,0.35714285714285715,0.7692307692307693
Rl4CQwZ4w4Y6sClp5VCS0,0.625,1.0,0.0,0.53125,0.6585365853658537,0.4166666666666667,0.6470588235294118,0.8333333333333334,0.44,0.7,0.5454545454545454,0.7058823529411765,0.76,0.7058823529411765,0.6363636363636364,0.6804123711340206,0.625,1.0,0.7241379310344828,0.7368421052631579,0.7916666666666666,0.6666666666666666,0.6,0.5,0.6666666666666666,0.5,0.6818181818181818,0.40625,0.6923076923076923,0.7894736842105263,0.6938775510204082,,0.6363636363636364,0.5384615384615384,0.0,0.5,0.5833333333333334,0.5625,0.6818181818181818
9BZANXTjpc2b8C8In5cY4,0.4482758620689655,0.75,0.25,0.5,0.5,0.6129032258064516,0.5,0.5833333333333334,0.5897435897435898,0.6486486486486487,0.5581395348837209,0.5789473684210527,0.6666666666666666,0.48,0.5652173913043478,0.782608695652174,0.6666666666666666,0.7241379310344828,1.0,0.4482758620689655,0.4444444444444444,0.5555555555555556,0.5454545454545454,,0.5454545454545454,0.35714285714285715,0.5,0.6666666666666666,0.5517241379310345,0.625,0.8,,0.5357142857142857,0.375,0.0,0.525,0.5185185185185185,0.6470588235294118,0.5238095238095238
f46DJlKR6QY5XAVvrTq0X,0.4666666666666667,1.0,0.5,0.5813953488372093,0.5957446808510638,0.6296296296296297,0.8333333333333334,0.5757575757575758,0.5675675675675675,0.7647058823529411,0.717948717948718,0.5434782608695652,0.7391304347826086,0.7941176470588235,0.5833333333333334,0.5,0.6097560975609756,0.7368421052631579,0.4482758620689655,1.0,0.7045454545454546,0.6666666666666666,0.5135135135135135,,0.6818181818181818,0.9166666666666666,0.4,0.3333333333333333,0.6097560975609756,0.5,0.5909090909090909,0.0,0.6285714285714286,0.6,1.0,0.5454545454545454,0.6410256410256411,0.5454545454545454,0.6136363636363636
